feature,family,vif,r2_vs_all_others
VB6_T9,VB6,511.372,0.998044
PB2_T4,PB2,505.534,0.998022
PB18_T9,PB18,502.1844,0.998009
PB3_T2,PB3,471.6786,0.99788
PB18_T6,PB18,455.2999,0.997804
PB18_T8,PB18,455.1551,0.997803
V4_T6,V4,450.8712,0.997782
V8_T3_T9,V8,442.9016,0.997742
V4_T7,V4,425.9931,0.997653
V8_T10_T12,V8,424.9357,0.997647
V8_T6_T12,V8,409.9831,0.997561
V8_T2_T9,V8,390.0412,0.997436
V8_T8_T12,V8,383.1729,0.99739
VB6_T8,VB6,378.7341,0.99736
PB6_T1,PB6,374.9775,0.997333
V8_T9_T12,V8,369.2861,0.997292
PB18_T12,PB18,353.6626,0.997172
V8_T7_T9,V8,339.7573,0.997057
V8_T1_T9,V8,328.8214,0.996959
PB8_T10,PB8,326.1973,0.996934
PB18_T7,PB18,325.6835,0.99693
V8_T2_T5,V8,315.214,0.996828
V8_T3_T8,V8,313.4781,0.99681
PB18_T4,PB18,312.3398,0.996798
PB2_T3,PB2,307.1269,0.996744
PB8_T11,PB8,304.1828,0.996713
V8_T4_T12,V8,303.4866,0.996705
V8_T5_T7,V8,301.9142,0.996688
V8_T2_T8,V8,295.7733,0.996619
V8_T1_T5,V8,290.0298,0.996552
V4_T4,V4,262.8989,0.996196
PB16_T4,PB16,259.4452,0.996146
V8_T2_T6,V8,255.8583,0.996092
V8_T1_T8,V8,253.3271,0.996053
V8_T7_T12,V8,241.7986,0.995864
V8_T1_T6,V8,232.1962,0.995693
V8_T4_T7,V8,225.2881,0.995561
V8_T3_T5,V8,219.6776,0.995448
V8_T11_T12,V8,215.5808,0.995361
PB6_T12,PB6,208.7968,0.995211
V8_T3_T6,V8,202.8225,0.99507
PB18_T3,PB18,198.315,0.994958
V8_T4_T6,V8,195.7324,0.994891
VB6_T5,VB6,194.9112,0.994869
V1_T7,V1,184.6746,0.994585
PB8_T5,PB8,180.3545,0.994455
PB3_T1,PB3,171.6044,0.994173
VB6_T6,VB6,171.2935,0.994162
V8_T3_T12,V8,155.2579,0.993559
VB6_T7,VB6,152.0712,0.993424
V8_T2_T4,V8,151.2052,0.993386
V8_T6_T7,V8,149.914,0.99333
V8_T2_T7,V8,149.3295,0.993303
V8_T3_T7,V8,146.6141,0.993179
V8_T1_T4,V8,146.5872,0.993178
PB18_T1,PB18,137.6219,0.992734
V8_T1_T7,V8,132.2957,0.992441
PB8_T9,PB8,130.8218,0.992356
PB8_T6,PB8,129.7998,0.992296
V8_T2_T12,V8,125.2701,0.992017
PB18_T2,PB18,120.3395,0.99169
PB2_T1,PB2,117.4319,0.991484
V1_T6,V1,114.3211,0.991253
V8_T10_T11,V8,113.3296,0.991176
V8_T7_T8,V8,109.3546,0.990855
V8_T8_T9,V8,108.3017,0.990767
V8_T1_T12,V8,102.1002,0.990206
VB6_T12,VB6,99.9668,0.989997
PB8_T8,PB8,98.4276,0.98984
V4_T3,V4,97.8255,0.989778
V8_T4_T5,V8,95.5002,0.989529
V1_T5,V1,87.9247,0.988627
PB8_T4,PB8,86.3131,0.988414
V3_T5,V3,85.1073,0.98825
VB6_T4,VB6,84.6058,0.98818
V3_T10,V3,83.0037,0.987952
PB16_T3,PB16,79.6342,0.987443
V3_T11,V3,76.9217,0.987
V3_T6,V3,61.2167,0.983665
V8_T5_T6,V8,57.0426,0.982469
V3_T4,V3,55.0455,0.981833
V8_T1_T3,V8,53.5675,0.981332
V8_T3_T4,V8,53.12,0.981175
PB14_T10,PB14,53.1078,0.98117
PB14_T11,PB14,53.0068,0.981134
PB8_T7,PB8,51.211,0.980473
PB8_T12,PB8,50.6849,0.98027
V4_T2,V4,48.8258,0.979519
V3_T9,V3,47.6539,0.979015
PB14_T12,PB14,46.9682,0.978709
PB14_T9,PB14,45.0959,0.977825
PB14_T8,PB14,43.6639,0.977098
V3_T8,V3,41.8551,0.976108
V1_T4,V1,39.8616,0.974913
PB2_T10,PB2,37.1166,0.973058
PB8_T3,PB8,37.0768,0.973029
V8_T2_T3,V8,36.7377,0.97278
PB2_T8,PB2,36.1467,0.972335
PB14_T7,PB14,36.1144,0.97231
PB2_T6,PB2,32.7567,0.969472
PB14_T6,PB14,32.6982,0.969417
PB14_T5,PB14,31.1832,0.967931
V3_T3,V3,30.6227,0.967344
VB1_T10,VB1,30.4821,0.967194
PB2_T5,PB2,30.2672,0.966961
VB1_T11,VB1,29.2988,0.965869
PB8_T2,PB8,29.146,0.96569
V2_T10,V2,28.8242,0.965307
V3_T7,V3,27.3492,0.963436
PB14_T4,PB14,27.3272,0.963406
V4_T1,V4,26.7359,0.962597
PB16_T2,PB16,25.6335,0.960988
V2_T11,V2,25.4783,0.960751
V3_T2,V3,22.2924,0.955142
PB2_T12,PB2,21.643,0.953796
PB2_T2,PB2,21.2548,0.952952
PB14_T3,PB14,20.4984,0.951216
V3_T12,V3,20.319,0.950785
V1_T3,V1,19.6979,0.949233
VB6_T3,VB6,18.9126,0.947125
V2_T5,V2,18.6831,0.946476
PB8_T1,PB8,16.7928,0.940451
VB1_T9,VB1,16.2986,0.938645
PB14_T2,PB14,15.348,0.934845
V2_T9,V2,15.3405,0.934813
VB1_T5,VB1,14.9988,0.933328
PB16_T1,PB16,14.2783,0.929964
V2_T6,V2,14.0112,0.928628
V3_T1,V3,13.3523,0.925107
VB1_T8,VB1,13.2906,0.924759
V2_T8,V2,13.0267,0.923235
PB14_T1,PB14,12.7057,0.921295
VB1_T6,VB1,12.407,0.9194
VB1_T12,VB1,11.3403,0.911819
V2_T4,V2,11.0327,0.90936
PB3_T12,PB3,9.3831,0.893425
VB1_T4,VB1,9.1661,0.890903
V1_T2,V1,9.0715,0.889764
V8_T1_T2,V8,9.0577,0.889596
VB1_T7,VB1,8.3053,0.879595
PV1_T10,PV1,8.1165,0.876795
V5,V5,8.001,0.875015
PV1_T11,PV1,7.8328,0.872332
V2_T7,V2,7.5385,0.867347
V1_T1,V1,6.0252,0.834032
V2_T3,V2,5.4465,0.816395
PV1_T9,PV1,5.3878,0.814395
VB1_T3,VB1,5.2536,0.809653
BB2_T1,BB2,4.8977,0.795824
PV1_T5,PV1,4.6985,0.787165
V2_T12,V2,4.6003,0.782623
PV1_T8,PV1,4.5609,0.780745
PV1_T6,PV1,4.1852,0.76106
BB2_T2,BB2,3.707,0.730241
PV1_T12,PV1,3.6151,0.723379
PV1_T4,PV1,3.5495,0.718272
V2_T2,V2,3.4403,0.709326
PV1_T7,PV1,3.4182,0.707446
VB1_T2,VB1,3.1428,0.681817
BB2_T3,BB2,2.8629,0.65071
PV1_T3,PV1,2.6796,0.626813
BB2_T4,BB2,2.6551,0.623364
BB2_T5,BB2,2.4747,0.595917
PV1_T2,PV1,2.431,0.588644
BB2_T6,BB2,2.2819,0.561765
V2_T1,V2,2.2736,0.560172
PV1_T1,PV1,2.1325,0.531065
BB2_T7,BB2,1.9196,0.479059
BB2_T11,BB2,1.9157,0.478009
VB1_T1,VB1,1.9115,0.476839
BB2_T10,BB2,1.9066,0.475504
BB2_T9,BB2,1.8988,0.473349
BB2_T8,BB2,1.8728,0.466035
BB2_T12,BB2,1.7901,0.441377
PV2,PV2,1.2545,0.202887
VB6_T2,VB6,1.1069,0.09655
VB6_T1,VB6,1.084,0.077483
BB14_T12,BB14,1.0,0.0
BB6_T10,BB6,1.0,0.0
BB14_T10,BB14,1.0,0.0
BB23,BB23,1.0,0.0
BB14_T11,BB14,1.0,0.0
BB14_T9,BB14,1.0,0.0
BB24,BB24,1.0,0.0
BB25,BB25,1.0,0.0
BB6_T11,BB6,1.0,0.0
BB15_T3,BB15,1.0,0.0
BB18,BB18,1.0,0.0
BB17,BB17,1.0,0.0
BB15_T8,BB15,1.0,0.0
BB19,BB19,1.0,0.0
BB15_T7,BB15,1.0,0.0
BB15_T5,BB15,1.0,0.0
BB6_T12,BB6,1.0,0.0
BB7_T1,BB7,1.0,0.0
BB21,BB21,1.0,0.0
BB9_T5,BB9,1.0,0.0
BB14_T8,BB14,1.0,0.0
BB8_T10,BB8,1.0,0.0
BB10_T11,BB10,1.0,0.0
BB10_T10,BB10,1.0,0.0
BB10_T9,BB10,1.0,0.0
BB10_T6,BB10,1.0,0.0
BB6_T1,BB6,1.0,0.0
BB10_T4,BB10,1.0,0.0
BB10_T2,BB10,1.0,0.0
BB10_T1,BB10,1.0,0.0
BB9_T7,BB9,1.0,0.0
BB13_T1,BB13,1.0,0.0
BB8_T12,BB8,1.0,0.0
BB13_T3,BB13,1.0,0.0
BB8_T9,BB8,1.0,0.0
BB7_T4,BB7,1.0,0.0
BB13_T4,BB13,1.0,0.0
BB13_T6,BB13,1.0,0.0
BB8_T7,BB8,1.0,0.0
BB13_T8,BB13,1.0,0.0
BB8_T6,BB8,1.0,0.0
BB7_T11,BB7,1.0,0.0
BB13_T9,BB13,1.0,0.0
BB13_T12,BB13,1.0,0.0
BB14_T2,BB14,1.0,0.0
BB7_T8,BB7,1.0,0.0
BB14_T3,BB14,1.0,0.0
BB7_T5,BB7,1.0,0.0
BB6_T2,BB6,1.0,0.0
PB1_T1,PB1,1.0,0.0
BB5_T12,BB5,1.0,0.0
PB9_T10,PB9,1.0,0.0
PB12_T2,PB12,1.0,0.0
PB12_T4,PB12,1.0,0.0
PB12_T8,PB12,1.0,0.0
PB12_T9,PB12,1.0,0.0
PB12_T12,PB12,1.0,0.0
PB15_T1,PB15,1.0,0.0
PB15_T4,PB15,1.0,0.0
PB15_T5,PB15,1.0,0.0
PB15_T6,PB15,1.0,0.0
PB15_T8,PB15,1.0,0.0
PB15_T11,PB15,1.0,0.0
PB15_T12,PB15,1.0,0.0
PB17_T1,PB17,1.0,0.0
PB17_T4,PB17,1.0,0.0
PB17_T5,PB17,1.0,0.0
PB17_T6,PB17,1.0,0.0
PB17_T8,PB17,1.0,0.0
PB17_T11,PB17,1.0,0.0
PB17_T12,PB17,1.0,0.0
VB2_T2,VB2,1.0,0.0
VB2_T5,VB2,1.0,0.0
VB2_T7,VB2,1.0,0.0
VB2_T8,VB2,1.0,0.0
PB1_T2,PB1,1.0,0.0
PV3_B1_T2,PV3,1.0,0.0
